System,ROM Name,Description,ISVERTICAL,FW Reborn,LEGENDS,FW Atarashii,INSERT COIN,FOCUS,FW Atarashii Gems,FW Atarashii Mini,FW Atarashii Micro,Vertical,Year,numberPlayers,ctrlType,Buttons,Simple Manufacturer,Joystick Input,Other Input,Manufacturers,,,1080 Avalanche,1775
arcade,blockout,Block Out,,x,x,x,,,,,,HORIZONTAL,1989,2,8 way,4,Technos,joy8way,,Technos Japan / California Dreams,,,,#N/A
arcade,bloodbro,Blood Bros.,,x,x,x,,,,,,HORIZONTAL,1990,2,8 way,3,Other,joy8way,,TAD Corporation / Tad Corporation,,,,#N/A
arcade,bmaster,Blade Master,,x,x,x,,,,,,HORIZONTAL,1991,2,8 way,2,Irem,joy8way,,Irem,,,,#N/A
arcade,bnj,Bump 'n' Jump,x,x,x,x,x,x,x,x,x,VERTICAL,1982,2,8 way,1,Data East,joy8way,,Data East,,,,#N/A
arcade,bnzabros,Bonanza Bros,,x,x,x,,,,,,HORIZONTAL,1990,2,8 way,3,SEGA,joy8way,,SEGA,,,,#N/A
arcade,bombjack,Bomb Jack,x,x,x,x,x,x,MINI,x,x,VERTICAL,1984,2,8 way,1,Other,joy8way,,Tehkan / Tehkan Ltd.,,,,#N/A
arcade,bonzeadv,Bonze Adventure,,,x,x,,,,,,HORIZONTAL,1988,2,8 way,2,Taito,joy8way,,Taito,,,,#N/A
arcade,boogwing,Boogie Wings,x,x,x,x,x,,,,,HORIZONTAL,1992,2,8 way,3,Data East,joy8way,,Data East,,,,#N/A
arcade,bosco,Bosconian: Star Destroyer,x,x,x,x,x,,x,,,HORIZONTAL,1981,2,8 way,1,Namco,joy8way,,Namco,,,,#N/A
arcade,brapboys,B.Rap Boys,x,x,x,x,x,,,,,HORIZONTAL,1992,3,8 way,2,Other,joy8way,,Kaneko,,,,#N/A
arcade,breakrev,Breakers Revenge,,x,x,x,,,,,,HORIZONTAL NEOGEO,1998,2,8 way,4,Neo Geo,joy8way,,Visco / SNK,,,,#N/A
arcade,brkthru,Break Thru,x,x,x,x,x,,x,,,HORIZONTAL,1986,2,8 way,2,Data East,joy8way,,Data East,,,,#N/A
arcade,bstars2,Baseball Stars 2,,x,x,x,,,,,,HORIZONTAL NEOGEO,1992,2,8 way,4,Neo Geo,joy8way,,SNK,,,,#N/A
arcade,btime,Burger Time,x,x,x,x,x,x,MINI,x,x,VERTICAL,1982,2,4 way,1,Data East,joy4way,,Data East,,,,#N/A
arcade,btoads,Battletoads,,x,x,x,,,,,,HORIZONTAL,1994,3,8 way,2,Other,joy8way,,Rare / Electronic Arts,,,,#N/A
arcade,bubblem,Bubble Bobble 3 : Bubble Memories,,x,x,x,,,,,,HORIZONTAL,1995,4,8 way,4,Taito,joy8way,dial,Taito,,,,#N/A
arcade,bubbles,Bubbles,x,x,x,x,x,,x,,,HORIZONTAL,1982,1,8 way,0,Williams,joy8way,,Williams,,,,#N/A
arcade,bublbob2,Bubble Bobble 2,,x,x,x,,,,,,HORIZONTAL,1994,4,8 way,4,Taito,joy8way,dial,Taito,,,,#N/A
